epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,640.525,2.17406,4.31751,1.23564,0.23154,0.0654,0.05815,0.03301,2.20044,3.71458,1.08948,0.000194559,0.000194559,0.000194559
2,1248.35,2.23774,3.52985,1.12925,0.65442,0.09463,0.08559,0.04548,2.13073,2.91654,1.08798,0.000387981,0.000387981,0.000387981
3,1676.64,2.22933,2.95599,1.11903,0.54948,0.15062,0.10277,0.05722,2.07265,2.37627,1.07741,0.000578816,0.000578816,0.000578816
4,2045.11,2.19063,2.54166,1.10657,0.55936,0.14393,0.11269,0.05749,2.09271,2.20157,1.08227,0.000576358,0.000576358,0.000576358
5,2463.65,2.13856,2.36335,1.09268,0.53844,0.18247,0.14526,0.08659,1.97524,2.01423,1.06742,0.000572477,0.000572477,0.000572477
6,2829,2.08112,2.17205,1.08446,0.37508,0.21,0.15366,0.09265,1.94247,1.95548,1.07126,0.000568596,0.000568596,0.000568596
